,hidden_size,learning_rate,epochs,optimizer,final_loss,accuracy
0,16,0.01,50,Adam,0.2636895775794983,0.8931800127029419
1,16,0.01,50,SGD,0.4043337106704712,0.808950662612915
2,16,0.01,50,RMSprop,0.42591673135757446,0.8424256443977356
3,16,0.01,100,Adam,0.12926742434501648,0.9561764597892761
4,16,0.01,100,SGD,0.30145660042762756,0.8681661486625671
5,16,0.01,100,RMSprop,0.2240632176399231,0.9091169238090515
6,16,0.001,50,Adam,0.4191160798072815,0.805277407169342
7,16,0.001,50,SGD,0.42636245489120483,0.8093478679656982
8,16,0.001,50,RMSprop,0.3676324486732483,0.8368649482727051
9,16,0.001,100,Adam,0.34715163707733154,0.8431522846221924
10,16,0.001,100,SGD,0.39178672432899475,0.8174117803573608
11,16,0.001,100,RMSprop,0.28248167037963867,0.880780816078186
12,32,0.01,50,Adam,0.3226172626018524,0.8522261381149292
13,32,0.01,50,SGD,0.38931038975715637,0.8207802176475525
14,32,0.01,50,RMSprop,0.4111891984939575,0.8651394844055176
15,32,0.01,100,Adam,0.15096284449100494,0.9402087330818176
16,32,0.01,100,SGD,0.3229454457759857,0.8571063280105591
17,32,0.01,100,RMSprop,0.2648775577545166,0.8898577690124512
18,32,0.001,50,Adam,0.40990498661994934,0.8073280453681946
19,32,0.001,50,SGD,0.41805005073547363,0.813870906829834
20,32,0.001,50,RMSprop,0.32384932041168213,0.8573249578475952
21,32,0.001,100,Adam,0.36082103848457336,0.8438419699668884
22,32,0.001,100,SGD,0.31465762853622437,0.8649178147315979
23,32,0.001,100,RMSprop,0.2438838928937912,0.9092401266098022
24,64,0.01,50,Adam,0.28258347511291504,0.8799495100975037
25,64,0.01,50,SGD,0.39519003033638,0.8062411546707153
26,64,0.01,50,RMSprop,0.6305614709854126,0.8450643420219421
27,64,0.01,100,Adam,0.16721859574317932,0.9410000443458557
28,64,0.01,100,SGD,0.24893976747989655,0.8905043601989746
29,64,0.01,100,RMSprop,0.2436814159154892,0.8820247650146484
30,64,0.001,50,Adam,0.38833311200141907,0.8196225166320801
31,64,0.001,50,SGD,0.400882750749588,0.8319908976554871
32,64,0.001,50,RMSprop,0.3541922867298126,0.8387215733528137
33,64,0.001,100,Adam,0.34919995069503784,0.8396391272544861
34,64,0.001,100,SGD,0.30200859904289246,0.8692807555198669
35,64,0.001,100,RMSprop,0.2530062198638916,0.8903380632400513
